id,station,state,city,country,address,type,latitude,longitude,company,status,create_at,update_at
1,"Neelkanth Star DC Charging Station",Haryana,Gurugram,India,"Neelkanth Star Karnal, NH 44, Gharunda, Kutail, Haryana 132114",12,29.6019,76.9803,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
2,"Galleria DC Charging Station",Haryana,Gurugram,India,"DLF Phase IV, Sector 28, Gurugram, Haryana 122022",12,28.4673,77.0818,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
3,"Highway Xpress (Jaipur-Delhi) DC charging station",Rajasthan,Behror,India,"Jaipur to Delhi Road, Behror Midway, Behror, Rajasthan 301701",12,27.8751,76.276,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
4,"Food Carnival DC Charging Station","Uttar Pradesh",Khatauli,India,"Fun and Food Carnival, NH 58, Khatauli Bypass, Bhainsi, Uttar Pradesh 251201",12,29.3105,77.7218,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
5,"Food Carnival AC Charging Station","Uttar Pradesh",Khatauli,India,"NH 58, Khatauli Bypass, Bhainsi, Uttar Pradesh 251201",12,29.3105,77.7218,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
6,"Krishna Hansraj Hotel Una DC charging station","Himachal Pradesh",Una,India,"Old Hoshiarpur Rd, Una, Himachal Pradesh 174303",12,31.4668,76.2568,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
7,"SG Jabli DC Charging Station","Himachal Pradesh",Kasauli,India,"VPO - Jabli, NH-22, Teh, Kasauli, Himachal Pradesh",12,30.879,76.9948,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
8,"SG Jabli  AC Charging Station","Himachal Pradesh",Kasauli,India,"VPO - Jabli, NH-22, Teh, Kasauli, Himachal Pradesh",12,30.879,76.9948,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
9,"SG Karnal DC Charging Station",Haryana,Karnal,India,"131 km Milestone, G. T, GT Karnal Rd, near Karna Lake, Karnal, Haryana 132001",12,29.7379,76.9756,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
10,"SG Karnal AC Charging Station",Haryana,Karnal,India,"131 km Milestone, G. T, GT Karnal Rd, near Karna Lake, Karnal, Haryana 132001",12,29.7379,76.9756,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
11,"Neelkanth Star AC charging  station",Haryana,karnal,India,"Neelkanth Star Karnal, NH 44, Gharunda, Kutail, Haryana 132114",12,29.6019,76.9803,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
12,"Deep Brothers IOCL AC Charging Station",Haryana,Darbaripur,India,"Deep Brothers, Palra Road, Darbaripur",12,28.3861,77.0063,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
13,"Synergy Solutions AC Charging Station 2",Maharashtra,Pune,India,"Synergy Solutions, Shop No 9 , Modak Prasad, 410, Narayan Peth,Pune",12,18.538,73.8485,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
14,"IOCL Rajokri Station",Delhi,"New Delhi",India,"NH 8 Exit 4, Samalka, New Delhi, Delhi 110037",12,28.5248,77.101,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
15,"VEEV A2B Kallar","Tamil Nadu",Mettupalayam,India,"A2B, Kallar Road, Mettupalayam, Tamil Nadu",12,11.3217,76.9163,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
16,"VEEV Sathya Nursery","Tamil Nadu",Mettupalayam,India,"Kallar, Mettupalayam, Tamil Nadu",12,11.33,76.9027,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
17,"IOCL Nehru Nagar Station",Delhi,"New Delhi",India,"10-C, Nehru Nagar, Ring Rd, near Lajpat Nagar, New Delhi, Delhi 110065",12,28.5682,77.2531,NULL,1,"2024-06-23 10:07:59","2024-06-23 10:07:59"
