id,role_id,module_id,can_view,can_insert,can_modify,can_delete,create_at,update_at
1,1,1,1,0,0,0,"2024-02-21 14:12:39","2024-02-21 14:12:39"
2,1,2,1,1,1,1,"2024-02-21 14:12:39","2024-02-21 14:12:39"
3,1,3,1,1,1,1,"2024-02-21 14:12:39","2024-02-21 14:12:39"
4,1,4,1,1,1,1,"2024-02-21 14:12:39","2024-02-21 14:12:39"
5,1,5,1,1,1,1,"2024-02-21 14:12:39","2024-02-21 14:12:39"
6,1,6,1,1,1,1,"2024-02-21 14:12:39","2024-02-21 14:12:39"
7,1,7,1,1,1,1,"2024-02-21 14:12:39","2024-02-21 14:12:39"
80,1,8,1,1,1,1,"2024-02-21 14:12:39","2024-02-21 14:12:39"
8,2,1,1,0,0,0,"2024-02-21 14:12:39","2024-02-21 14:12:39"
9,2,2,1,1,1,0,"2024-02-21 14:12:39","2024-02-21 14:12:39"
10,2,3,1,1,1,0,"2024-02-21 14:12:39","2024-02-21 14:12:39"
11,2,5,1,1,1,0,"2024-02-21 14:12:39","2024-02-21 14:12:39"
12,2,6,1,1,1,0,"2024-02-21 14:12:39","2024-02-21 14:12:39"
13,2,7,1,1,1,0,"2024-02-21 14:12:39","2024-02-21 14:12:39"
44,3,1,1,0,0,0,"2024-04-23 12:37:31","2024-04-23 12:37:31"
45,3,6,0,0,0,0,"2024-04-23 12:37:31","2024-04-23 12:37:31"
46,3,7,1,1,1,0,"2024-04-23 12:37:31","2024-04-23 12:37:31"
47,3,5,1,1,1,0,"2024-04-23 12:37:31","2024-04-23 12:37:31"
48,3,2,1,1,1,0,"2024-04-23 12:37:31","2024-04-23 12:37:31"
49,3,3,1,0,0,0,"2024-04-23 12:37:31","2024-04-23 12:37:31"
50,4,1,1,0,0,0,"2024-04-23 12:37:47","2024-04-23 12:37:47"
51,4,6,0,0,0,0,"2024-04-23 12:37:47","2024-04-23 12:37:47"
52,4,7,1,1,1,0,"2024-04-23 12:37:47","2024-04-23 12:37:47"
53,4,5,1,1,1,0,"2024-04-23 12:37:47","2024-04-23 12:37:47"
54,4,2,1,1,1,0,"2024-04-23 12:37:47","2024-04-23 12:37:47"
55,4,3,1,1,1,0,"2024-04-23 12:37:47","2024-04-23 12:37:47"
62,6,1,0,0,0,0,"2024-04-23 12:38:32","2024-04-23 12:38:32"
63,6,6,1,0,0,0,"2024-04-23 12:38:32","2024-04-23 12:38:32"
64,6,7,0,0,0,0,"2024-04-23 12:38:32","2024-04-23 12:38:32"
65,6,5,1,1,1,0,"2024-04-23 12:38:32","2024-04-23 12:38:32"
66,6,2,1,0,0,0,"2024-04-23 12:38:32","2024-04-23 12:38:32"
67,6,3,1,0,0,0,"2024-04-23 12:38:32","2024-04-23 12:38:32"
68,5,1,0,0,0,0,"2024-04-23 12:39:40","2024-04-23 12:39:40"
69,5,6,0,0,0,0,"2024-04-23 12:39:40","2024-04-23 12:39:40"
70,5,7,1,0,0,0,"2024-04-23 12:39:40","2024-04-23 12:39:40"
71,5,5,1,1,1,0,"2024-04-23 12:39:40","2024-04-23 12:39:40"
72,5,2,1,0,0,0,"2024-04-23 12:39:40","2024-04-23 12:39:40"
73,5,3,1,0,0,0,"2024-04-23 12:39:40","2024-04-23 12:39:40"
74,7,1,0,0,0,0,"2024-04-23 12:39:59","2024-04-23 12:39:59"
75,7,6,0,0,0,0,"2024-04-23 12:39:59","2024-04-23 12:39:59"
76,7,7,0,0,0,0,"2024-04-23 12:39:59","2024-04-23 12:39:59"
77,7,5,0,0,0,0,"2024-04-23 12:39:59","2024-04-23 12:39:59"
78,7,2,1,0,0,0,"2024-04-23 12:39:59","2024-04-23 12:39:59"
79,7,3,1,0,0,0,"2024-04-23 12:39:59","2024-04-23 12:39:59"
81,8,9,1,0,0,0,"2024-04-23 12:39:59","2024-04-23 12:39:59"
